,0
30009,{α}
30010,{α}
30011,"{α, γ}"
30012,{α}
30013,{α}
30014,{α}
30015,"{α, η}"
30016,{α}
30017,{α}
30018,{α}
30019,"{α, γ}"
30020,{α}
30021,{α}
30022,"{α, η}"
30023,"{α, β}"
30024,{α}
30025,{α}
30026,{α}
30027,{α}
30028,{α}
30029,"{α, η}"
30030,{α}
30031,{α}
30032,"{α, η}"
30033,{other}
30034,{α}
30035,{α}
30036,"{α, β}"
30037,{}
30038,{α}
30039,"{α, η}"
30040,{α}
30041,{α}
30042,"{α, η}"
30043,{α}
30044,{α}
30045,{α}
30046,{α}
30047,{α}
30048,{α}
30049,{α}
30050,"{α, η}"
30051,{α}
30052,"{α, ψ}"
30053,{α}
30054,"{α, γ}"
30055,"{α, η}"
30056,{α}
30057,"{α, γ}"
30058,{α}
30059,{α}
30060,{α}
30061,{α}
30062,{α}
30063,{α}
30064,"{α, ε}"
30065,{α}
30066,{other}
30067,{α}
30068,{α}
30069,{α}
30070,"{α, η}"
30071,{α}
30072,{α}
30073,{α}
30074,{α}
30075,{other}
30076,{α}
30077,{α}
30078,"{α, γ}"
30079,"{α, γ}"
30080,{α}
30081,{α}
30082,{α}
30083,"{α, η}"
30084,"{α, η}"
30085,"{α, β}"
30086,{α}
30087,"{α, η}"
30088,{α}
30089,{α}
30090,{α}
30091,"{α, γ}"
30092,{}
30093,{α}
30094,{α}
30095,{α}
30096,{α}
30097,{α}
30098,{α}
30099,{α}
30100,{α}
30101,{α}
30102,"{α, γ}"
30103,{α}
30104,{other}
30105,{α}
30106,{α}
30107,{α}
30108,{α}
30109,{α}
30110,"{α, η}"
30111,"{α, ψ}"
30112,{α}
30113,{α}
30114,{α}
30115,"{α, η}"
30116,{α}
30117,{α}
30118,{α}
30119,{α}
30120,"{α, γ}"
30121,{other}
30122,{α}
30123,{other}
30124,{α}
30125,{α}
30126,{α}
30127,{α}
30128,"{α, η}"
30129,{α}
30130,{α}
30131,{α}
30132,{α}
30133,{α}
30134,{α}
30135,"{α, λ}"
30136,{α}
30137,{α}
30138,{α}
30139,{α}
30140,{α}
30141,{α}
30142,"{α, η}"
30143,{α}
30144,"{α, η}"
30145,{α}
30146,{α}
30147,{α}
30148,{α}
30149,{}
30150,{other}
30151,{α}
30152,"{α, γ}"
30153,{α}
30154,{α}
30155,{α}
30156,{α}
30157,{α}
30158,{α}
30159,{α}
30160,"{α, θ}"
30161,"{α, β}"
30162,{α}
30163,{α}
30164,{α}
30165,"{α, η}"
30166,{α}
30167,{α}
30168,"{α, γ}"
30169,{α}
30170,{α}
30171,{α}
30172,{α}
30173,{α}
30174,"{α, γ}"
30175,{other}
30176,{α}
30177,{}
30178,"{α, δ}"
30179,{α}
30180,{α}
30181,"{α, η}"
30182,{α}
30183,{α}
30184,"{α, γ}"
30185,"{α, γ}"
30186,{α}
30187,{α}
30188,{α}
30189,{α}
30190,"{α, β}"
30191,{α}
30192,{α}
30193,"{α, γ}"
30194,"{α, γ}"
30195,{α}
30196,{α}
30197,"{α, δ}"
30198,{α}
30199,{α}
30200,{α}
30201,"{α, θ}"
30202,"{α, η}"
30203,{α}
30204,"{α, ε, η}"
30205,{}
30206,"{α, η}"
30207,{α}
30208,{other}
30209,{α}
30210,"{α, η}"
30211,"{α, μ}"
30212,{}
30213,{α}
30214,{}
30215,"{α, η}"
30216,{α}
30217,{α}
30218,"{α, η}"
30219,{α}
30220,{α}
30221,{α}
30222,{α}
30223,{α}
30224,{}
30225,{α}
30226,{α}
30227,{other}
30228,{}
30229,{α}
30230,{α}
30231,{α}
30232,"{α, η}"
30233,{other}
30234,{α}
30235,{α}
30236,"{α, ψ}"
30237,"{α, δ}"
30238,{α}
30239,{α}
30240,{α}
30241,"{α, λ}"
30242,{α}
30243,{other}
30244,{other}
30245,{α}
30246,{α}
30247,{α}
30248,{α}
30249,{}
30250,{α}
30251,{α}
30252,"{α, η}"
30253,{α}
30254,"{α, γ}"
30255,{α}
30256,{α}
30257,{α}
30258,{α}
30259,{α}
30260,{α}
30261,{α}
30262,{α}
30263,{α}
30264,{α}
30265,{}
30266,{α}
30267,{α}
30268,{α}
30269,"{α, η}"
30270,{α}
30271,{α}
30272,{other}
30273,{}
30274,{α}
30275,{}
30276,{other}
30277,{α}
30278,{α}
30279,{α}
30280,"{α, β}"
30281,{α}
30282,{α}
30283,{α}
30284,{}
30285,{other}
30286,{α}
30287,{α}
30288,{α}
30289,{α}
30290,{α}
30291,{α}
30292,{α}
30293,{α}
30294,{α}
30295,{α}
30296,{α}
30297,{α}
30298,{α}
30299,{α}
30300,{α}
30301,{α}
30302,"{α, η}"
30303,{α}
30304,{other}
30305,{α}
30306,{α}
30307,{α}
30308,{}
30309,{α}
30310,{α}
30311,{α}
30312,{α}
30313,"{α, γ}"
30314,{other}
30315,{α}
30316,{other}
30317,{α}
30318,{α}
30319,{α}
30320,{α}
30321,{α}
30322,{α}
30323,"{α, η}"
30324,{α}
30325,{α}
30326,"{α, δ}"
30327,{α}
30328,{other}
30329,"{α, η}"
30330,"{α, η}"
30331,{α}
30332,"{α, η}"
30333,{α}
30334,"{α, η}"
30335,"{α, η}"
30336,"{α, η}"
30337,"{α, γ}"
30338,{α}
30339,{other}
30340,{}
30341,{α}
30342,{α}
30343,{α}
30344,{α}
30345,"{α, η}"
30346,{α}
30347,"{α, β}"
30348,{α}
30349,{α}
30350,{α}
30351,{α}
30352,{α}
30353,{α}
30354,{α}
30355,{α}
30356,{α}
30357,{α}
30358,{α}
30359,{}
30360,{α}
30361,{}
30362,{α}
30363,{α}
30364,{α}
30365,{α}
30366,{α}
30367,"{α, γ}"
30368,{α}
30369,"{α, β}"
30370,{α}
30371,{α}
30372,{α}
30373,{other}
30374,{α}
30375,"{α, γ}"
30376,{α}
30377,{}
30378,{α}
30379,{α}
30380,{α}
30381,{α}
30382,"{α, γ}"
30383,{α}
30384,{α}
30385,{}
30386,{α}
30387,{α}
30388,{α}
30389,{other}
30390,"{α, γ}"
30391,{}
30392,{α}
30393,"{α, δ}"
30394,{α}
30395,{α}
30396,{α}
30397,"{α, η}"
30398,{α}
30399,{α}
30400,{α}
30401,"{α, η}"
30402,{α}
30403,{α}
30404,"{α, η}"
30405,"{α, η}"
30406,{α}
30407,{α}
30408,{α}
30409,{α}
30410,{α}
30411,{other}
30412,{α}
30413,{α}
30414,{}
30415,{α}
30416,{α}
30417,{α}
30418,"{α, η}"
30419,"{α, γ}"
30420,{α}
30421,{α}
30422,{}
30423,{α}
30424,{α}
30425,{α}
30426,{α}
30427,{α}
30428,{α}
30429,{α}
30430,{α}
30431,"{α, γ}"
30432,"{α, ε}"
30433,"{α, γ}"
30434,{α}
30435,"{α, β}"
30436,{α}
30437,"{α, γ}"
30438,{α}
30439,{α}
30440,{other}
30441,{α}
30442,{α}
30443,"{α, γ}"
30444,{other}
30445,{α}
30446,{α}
30447,{}
30448,{α}
30449,{other}
30450,{α}
30451,{α}
30452,{α}
30453,{α}
30454,"{α, η}"
30455,{α}
30456,{α}
30457,{other}
30458,"{α, γ}"
30459,{α}
30460,{α}
30461,{α}
30462,{α}
30463,{α}
30464,{α}
30465,{α}
30466,{α}
30467,{α}
30468,{α}
30469,{other}
30470,{α}
30471,{α}
30472,{α}
30473,{α}
30474,"{α, γ}"
30475,"{α, η}"
30476,{α}
30477,{α}
30478,"{α, η}"
30479,{α}
30480,{α}
30481,{α}
30482,{α}
30483,{other}
30484,{α}
30485,"{α, η}"
30486,{α}
30487,{α}
30488,{α}
30489,{other}
30490,{α}
30491,{α}
30492,{α}
30493,"{α, η}"
30494,"{α, η}"
30495,"{α, λ}"
30496,{other}
30497,{α}
30498,{α}
30499,{α}
30500,{α}
30501,{α}
30502,{}
30503,{α}
30504,"{α, η}"
30505,{α}
30506,{α}
30507,"{α, ε, ψ}"
30508,"{α, θ}"
30509,{α}
30510,{α}
30511,"{α, γ}"
30512,{α}
30513,{}
30514,{α}
30515,{α}
30516,{α}
30517,{}
30518,{}
30519,{α}
30520,"{α, γ}"
30521,{α}
30522,{α}
30523,{α}
30524,"{α, γ}"
30525,{α}
30526,{}
30527,"{α, η}"
30528,{α}
30529,{α}
30530,{α}
30531,{α}
30532,{α}
30533,{α}
30534,{}
30535,{α}
30536,{α}
30537,"{α, γ}"
30538,"{α, β}"
30539,{}
30540,"{α, η}"
30541,{α}
30542,{α}
30543,{α}
30544,{α}
30545,{α}
30546,{α}
30547,{α}
30548,{α}
30549,{α}
30550,{other}
30551,{α}
30552,{}
30553,"{α, β}"
30554,{}
30555,{α}
30556,{α}
30557,{α}
30558,{α}
30559,"{α, η}"
30560,"{α, η}"
30561,"{α, γ}"
30562,{α}
30563,{α}
30564,{α}
30565,{α}
30566,{α}
30567,{α}
30568,{α}
30569,"{α, η}"
30570,{α}
30571,{other}
30572,"{α, γ}"
30573,{α}
30574,{α}
30575,{α}
30576,"{α, η}"
30577,{}
30578,{other}
30579,{}
30580,{α}
30581,"{α, β}"
30582,{}
30583,{α}
30584,{α}
30585,"{α, η}"
30586,"{α, ε}"
30587,{α}
30588,"{α, ε}"
30589,"{α, γ}"
30590,{α}
30591,{α}
30592,{α}
30593,{α}
30594,{α}
30595,"{α, δ}"
30596,{}
30597,{α}
30598,{α}
30599,{α}
30600,"{α, γ}"
30601,"{α, η}"
30602,{α}
30603,"{α, ε}"
30604,{α}
30605,{α}
30606,"{α, γ}"
30607,{α}
30608,{α}
30609,{α}
30610,{α}
30611,{}
30612,{α}
30613,{α}
30614,{α}
30615,"{α, γ}"
30616,{α}
30617,{}
30618,{α}
30619,{α}
30620,{α}
30621,{α}
30622,{α}
30623,{α}
30624,"{α, η}"
30625,{}
30626,{α}
30627,{α}
30628,{α}
30629,{α}
30630,{α}
30631,"{α, θ}"
30632,"{α, γ}"
30633,{α}
30634,{α}
30635,{α}
30636,{}
30637,"{α, β}"
30638,{α}
30639,{α}
30640,"{α, β}"
30641,{α}
30642,{α}
30643,"{α, θ}"
30644,{other}
30645,{α}
30646,{α}
30647,{α}
30648,{α}
30649,{α}
30650,{α}
30651,{other}
30652,{other}
30653,{α}
30654,{α}
30655,"{α, λ}"
30656,{α}
30657,{α}
30658,{α}
30659,{α}
30660,"{α, ε}"
30661,"{α, η}"
30662,{α}
30663,"{α, β}"
30664,"{α, γ}"
30665,{α}
30666,{α}
30667,{α}
30668,{α}
30669,{α}
30670,"{α, η}"
30671,{α}
30672,{α}
30673,"{α, ψ}"
30674,{α}
30675,{α}
30676,{}
30677,{α}
30678,{other}
30679,{α}
30680,{α}
30681,{α}
30682,"{α, η}"
30683,{α}
30684,{other}
30685,{α}
30686,"{α, δ}"
30687,{α}
30688,{α}
30689,{α}
30690,{α}
30691,{other}
30692,{α}
30693,{α}
30694,{α}
30695,{α}
30696,{}
30697,{α}
30698,{α}
30699,"{α, δ}"
30700,"{α, ε}"
30701,"{α, γ}"
30702,{α}
30703,{α}
30704,{α}
30705,{}
30706,{α}
30707,{α}
30708,"{α, γ}"
30709,{}
30710,"{α, η}"
30711,{α}
30712,{α}
30713,"{α, γ}"
30714,{other}
30715,{α}
30716,{α}
30717,{α}
30718,"{α, γ}"
30719,"{α, η}"
30720,{α}
30721,{α}
30722,"{α, δ}"
30723,{α}
30724,"{α, δ}"
30725,{α}
30726,{other}
30727,{α}
30728,{α}
30729,{}
30730,"{α, ψ}"
30731,{other}
30732,{α}
30733,{α}
30734,{α}
30735,{α}
30736,{α}
30737,"{α, η}"
30738,{α}
30739,{α}
30740,{α}
30741,"{α, η}"
30742,{α}
30743,{α}
30744,{α}
30745,"{α, β}"
30746,"{α, γ}"
30747,"{α, β}"
30748,"{α, ε, η}"
30749,{α}
30750,"{α, γ}"
30751,{α}
30752,"{α, γ}"
30753,"{α, η}"
30754,"{α, γ}"
30755,"{α, β}"
30756,"{α, η}"
30757,{α}
30758,{}
30759,{α}
30760,{α}
30761,"{α, γ}"
30762,{α}
30763,{α}
30764,{α}
30765,{α}
30766,{α}
30767,{α}
30768,{α}
30769,{α}
30770,{}
30771,{α}
30772,{α}
30773,"{α, μ}"
30774,"{α, β}"
30775,{α}
30776,{α}
30777,{α}
30778,{α}
30779,{α}
30780,{α}
30781,{α}
30782,{α}
30783,{α}
30784,{}
30785,{α}
30786,"{α, η}"
30787,{α}
30788,{}
30789,"{α, δ}"
30790,{α}
30791,{α}
30792,{}
30793,{α}
30794,{α}
30795,{α}
30796,"{α, η}"
30797,{α}
30798,"{α, β}"
30799,{α}
30800,{α}
30801,{α}
30802,{other}
30803,{α}
30804,{α}
30805,{α}
30806,{α}
30807,{α}
30808,"{α, η}"
30809,{}
30810,{α}
30811,"{α, η}"
30812,{α}
30813,{other}
30814,"{α, γ}"
30815,{α}
30816,{α}
30817,"{α, β}"
30818,{α}
30819,{α}
30820,{α}
30821,{α}
30822,{}
30823,"{α, η}"
30824,"{α, η}"
30825,{α}
30826,{α}
30827,"{α, ψ}"
30828,{}
30829,{α}
30830,{α}
30831,{α}
30832,{}
30833,{α}
30834,{α}
30835,{α}
30836,{α}
30837,{α}
30838,"{α, η}"
30839,{α}
30840,{α}
30841,{α}
30842,{α}
30843,"{α, η}"
30844,{α}
30845,"{α, γ}"
30846,{α}
30847,{α}
30848,"{α, γ}"
30849,{α}
30850,"{α, ε}"
30851,"{α, γ}"
30852,{α}
30853,{α}
30854,{α}
30855,{α}
30856,{α}
30857,{α}
30858,{α}
30859,{α}
30860,"{α, η}"
30861,{α}
30862,{α}
30863,{α}
30864,{}
30865,{α}
30866,{α}
30867,{α}
30868,"{α, η}"
30869,"{α, δ}"
30870,{α}
30871,{α}
30872,{other}
30873,{other}
30874,{α}
30875,"{α, β}"
30876,"{α, η}"
30877,{α}
30878,"{α, γ}"
30879,{α}
30880,{α}
30881,{α}
30882,{α}
30883,"{α, β}"
30884,"{α, γ}"
30885,{}
30886,{α}
30887,{other}
30888,{α}
30889,{α}
30890,{α}
30891,{α}
30892,{α}
30893,{α}
30894,"{α, β}"
30895,{α}
30896,{α}
30897,{α}
30898,{}
30899,{α}
30900,{α}
30901,{α}
30902,{α}
30903,{α}
30904,{α}
30905,{α}
30906,{α}
30907,"{α, ψ}"
30908,{α}
30909,{α}
30910,{α}
30911,{α}
30912,{α}
30913,{other}
30914,{α}
30915,{α}
30916,"{α, ψ}"
30917,{α}
30918,{α}
30919,"{α, η}"
30920,{α}
30921,{α}
30922,{α}
30923,{α}
30924,{α}
30925,{α}
30926,{α}
30927,"{α, β}"
30928,{α}
30929,{α}
30930,{}
30931,{α}
30932,{α}
30933,{}
30934,{α}
30935,{other}
30936,"{α, η}"
30937,{α}
30938,{α}
30939,{α}
30940,{α}
30941,{α}
30942,{α}
30943,{other}
30944,{α}
30945,{other}
30946,{α}
30947,{α}
30948,{}
30949,{α}
30950,{α}
30951,{α}
30952,{α}
30953,{α}
30954,{α}
30955,{α}
30956,{other}
30957,{α}
30958,{}
30959,{α}
30960,"{α, γ}"
30961,{α}
30962,{α}
30963,{α}
30964,{α}
30965,{α}
30966,"{α, γ}"
30967,{α}
30968,{α}
30969,{}
30970,"{α, γ}"
30971,{α}
30972,{α}
30973,{α}
30974,{α}
30975,{α}
30976,{α}
30977,{α}
30978,{α}
30979,{α}
30980,{other}
30981,{α}
30982,{α}
30983,{α}
30984,{α}
30985,"{α, γ}"
30986,{}
30987,{α}
30988,{}
30989,"{α, β}"
30990,{α}
30991,{α}
30992,{α}
30993,{α}
30994,"{α, γ}"
30995,{other}
30996,{α}
30997,{α}
30998,{α}
30999,{α}
31000,"{α, η}"
31001,{α}
31002,{α}
31003,{}
31004,{α}
31005,{α}
31006,{α}
31007,"{α, γ}"
31008,{α}
31009,"{α, η}"
31010,{α}
31011,{α}
31012,{other}
31013,{α}
31014,{α}
31015,{α}
31016,{α}
31017,"{α, λ}"
31018,{α}
31019,"{α, γ}"
31020,{α}
31021,{α}
31022,{α}
31023,"{α, η}"
31024,{α}
31025,{}
31026,{α}
31027,{α}
31028,{α}
31029,"{α, γ}"
31030,{α}
31031,{α}
31032,{α}
31033,{α}
31034,"{α, γ}"
31035,"{α, η}"
31036,{α}
31037,{α}
31038,{α}
31039,{α}
31040,{α}
31041,{other}
31042,"{α, γ}"
31043,"{α, η}"
31044,{α}
31045,"{α, ψ}"
31046,{α}
31047,{α}
31048,{α}
31049,{α}
31050,{α}
31051,{α}
31052,{α}
31053,"{α, δ}"
31054,{α}
31055,{other}
31056,{α}
31057,{α}
31058,{α}
31059,{}
31060,{α}
31061,"{α, θ}"
31062,{α}
31063,{α}
31064,{α}
31065,{α}
31066,"{α, η}"
31067,{α}
31068,{α}
31069,{α}
31070,"{α, η}"
31071,{α}
31072,{}
31073,{α}
31074,{α}
31075,"{α, η}"
31076,{}
31077,{α}
31078,"{α, ψ}"
31079,"{α, η}"
31080,{α}
31081,{α}
31082,{α}
31083,{α}
31084,{α}
31085,{α}
31086,"{α, η}"
31087,{α}
31088,{α}
31089,{α}
31090,{α}
31091,{α}
31092,{α}
31093,"{α, η}"
31094,{α}
31095,"{α, γ}"
31096,{α}
31097,{α}
31098,{α}
31099,{α}
31100,{α}
31101,"{α, η}"
31102,"{α, γ}"
31103,{α}
31104,{α}
31105,{α}
31106,"{α, ε}"
31107,{α}
31108,{}
31109,{α}
31110,{α}
31111,{α}
31112,{α}
31113,{α}
31114,{α}
31115,{α}
31116,{}
31117,{α}
31118,{α}
31119,{α}
31120,{α}
31121,{α}
31122,"{α, β}"
31123,{α}
31124,{α}
31125,"{α, γ}"
31126,{α}
31127,{α}
31128,{}
31129,{α}
31130,{α}
31131,{α}
31132,{α}
31133,{α}
31134,{α}
31135,{}
31136,"{α, β}"
31137,{α}
31138,{α}
31139,"{α, β}"
31140,{α}
31141,{α}
31142,{α}
31143,{other}
31144,{α}
31145,{α}
31146,{}
31147,{other}
31148,{α}
31149,{other}
31150,{α}
31151,{other}
31152,{α}
31153,{α}
31154,{α}
31155,{α}
31156,{}
31157,{α}
31158,{α}
31159,{α}
31160,{other}
31161,"{α, η}"
31162,{α}
31163,"{α, θ}"
31164,{other}
31165,{α}
31166,{α}
31167,{}
31168,{α}
31169,{α}
31170,{α}
31171,{α}
31172,"{α, β}"
31173,{other}
31174,{α}
31175,{α}
31176,{}
31177,"{α, β}"
31178,{α}
31179,"{α, η}"
31180,"{α, γ}"
31181,{α}
31182,{}
31183,{other}
31184,"{α, β}"
31185,{α}
31186,{α}
31187,{α}
31188,{α}
31189,{α}
31190,{α}
31191,{α}
31192,"{α, η}"
31193,{other}
31194,{α}
31195,"{α, γ}"
31196,{α}
31197,{other}
31198,{other}
31199,{α}
31200,{α}
31201,{α}
31202,{α}
31203,"{α, η}"
31204,{α}
31205,{α}
31206,{α}
31207,{α}
31208,{α}
31209,"{α, γ}"
31210,{α}
31211,{α}
31212,{α}
31213,{α}
31214,{α}
31215,{α}
31216,{α}
31217,"{α, η}"
31218,{α}
31219,{α}
31220,{α}
31221,{α}
31222,"{α, ε}"
31223,{α}
31224,"{α, η}"
31225,"{α, η}"
31226,"{α, ε}"
31227,"{α, η}"
31228,"{α, γ}"
31229,{}
31230,{α}
31231,{α}
31232,"{α, η}"
31233,"{α, γ}"
31234,"{α, γ}"
31235,{α}
31236,{α}
31237,"{α, γ}"
31238,{}
31239,{α}
31240,{α}
31241,{α}
31242,{α}
31243,"{α, δ}"
31244,"{α, γ}"
31245,{α}
31246,{α}
31247,{}
31248,{α}
31249,{α}
31250,{α}
31251,{α}
31252,{}
31253,{α}
31254,{α}
31255,{α}
31256,{α}
31257,{α}
31258,{}
31259,{α}
31260,{other}
31261,{α}
31262,{α}
31263,{α}
31264,{α}
31265,{α}
31266,{α}
31267,{}
31268,{α}
31269,{α}
31270,{α}
31271,{α}
31272,{α}
31273,{α}
31274,{α}
31275,{α}
31276,"{α, γ}"
31277,{α}
31278,"{α, η}"
31279,"{α, γ}"
31280,{α}
31281,{}
31282,{α}
31283,"{α, η}"
31284,{α}
31285,{α}
31286,{α}
31287,{α}
31288,"{α, η}"
31289,{α}
31290,"{α, η}"
31291,{other}
31292,{α}
31293,{other}
31294,{α}
31295,{α}
31296,"{α, ε, η}"
31297,{α}
31298,"{α, η}"
31299,{α}
31300,{α}
31301,"{α, μ}"
31302,{α}
31303,"{α, η}"
31304,{α}
31305,{α}
31306,{}
31307,{α}
31308,{α}
31309,{α}
31310,{α}
31311,{}
31312,"{α, γ}"
31313,{α}
31314,{α}
31315,"{α, η}"
31316,{α}
31317,{}
31318,{α}
31319,{α}
31320,"{α, β}"
31321,{α}
31322,{α}
31323,{α}
31324,"{α, η}"
31325,{α}
31326,"{α, γ}"
31327,"{α, η}"
31328,{α}
31329,"{α, η}"
31330,{other}
31331,"{α, γ}"
31332,{α}
31333,{α}
31334,"{α, β}"
31335,"{α, η}"
31336,"{α, η}"
31337,{α}
31338,{other}
31339,{α}
31340,{α}
31341,{α}
31342,"{α, β}"
31343,{α}
31344,{}
31345,"{α, η}"
31346,"{α, η}"
31347,{α}
31348,{α}
31349,{α}
31350,"{α, η}"
31351,{α}
31352,{α}
31353,{α}
31354,{}
31355,{}
31356,{α}
31357,{α}
31358,{α}
31359,{α}
31360,{}
31361,"{α, θ}"
31362,"{α, η}"
31363,{α}
31364,{other}
31365,{α}
31366,{other}
31367,{α}
31368,{α}
31369,{α}
31370,{}
31371,{α}
31372,{α}
31373,{α}
31374,{}
31375,{α}
31376,{other}
31377,{α}
31378,{}
31379,{α}
31380,"{α, η}"
31381,{α}
31382,{α}
31383,{α}
31384,{α}
31385,{α}
31386,{α}
31387,"{α, η}"
31388,{α}
31389,{α}
31390,{α}
31391,"{α, γ}"
31392,"{α, η}"
31393,{α}
31394,{α}
31395,{other}
31396,{α}
31397,"{α, η}"
31398,{other}
31399,"{α, η}"
31400,{α}
31401,"{α, γ}"
31402,"{α, γ}"
31403,{α}
31404,{}
31405,{α}
31406,{α}
31407,{α}
31408,"{α, η}"
31409,"{α, γ}"
31410,{α}
31411,{α}
31412,{}
31413,{α}
31414,{α}
31415,{α}
31416,"{α, η}"
31417,"{α, γ}"
31418,{α}
31419,{α}
31420,{}
31421,{α}
31422,{α}
31423,{α}
31424,{α}
31425,{α}
31426,{α}
31427,{α}
31428,{}
31429,{α}
31430,{α}
31431,{α}
31432,{α}
31433,{other}
31434,{α}
31435,{α}
31436,{}
31437,{α}
31438,{α}
31439,{α}
31440,{α}
31441,{α}
31442,{α}
31443,{α}
31444,"{α, ε, η}"
31445,{α}
31446,{α}
31447,{α}
31448,{α}
31449,{α}
31450,{α}
31451,{α}
31452,"{α, γ}"
31453,{α}
31454,{α}
31455,{α}
31456,"{α, η}"
31457,{α}
31458,{α}
31459,{α}
31460,{α}
31461,"{α, γ}"
31462,{α}
31463,{α}
31464,{α}
31465,"{α, β}"
31466,"{α, η}"
31467,"{α, δ}"
31468,{α}
31469,{α}
31470,{α}
31471,{α}
31472,{α}
31473,{α}
31474,"{α, η}"
31475,{α}
31476,"{α, η}"
31477,{α}
31478,"{α, γ}"
31479,{α}
31480,{α}
31481,{α}
31482,"{α, η}"
31483,{α}
31484,{α}
31485,{α}
31486,{α}
31487,{α}
31488,{α}
31489,{α}
31490,{α}
31491,{}
31492,{α}
31493,{α}
31494,"{α, λ}"
31495,{}
31496,{α}
31497,{α}
31498,{α}
31499,"{α, λ}"
31500,{other}
31501,{α}
31502,{α}
31503,{α}
31504,{α}
31505,"{α, η}"
31506,{}
31507,{}
31508,{α}
31509,{α}
31510,"{α, δ}"
31511,{α}
31512,{α}
31513,{α}
31514,{α}
31515,"{α, γ}"
31516,{α}
31517,"{α, η}"
31518,{α}
31519,{α}
31520,{other}
31521,{α}
31522,"{α, η}"
31523,{α}
31524,{α}
31525,{α}
31526,{α}
31527,{α}
31528,"{α, η}"
31529,{α}
31530,{α}
31531,{α}
31532,{α}
31533,{α}
31534,"{α, γ}"
31535,{}
31536,{α}
31537,"{α, δ}"
31538,{α}
31539,{α}
31540,{α}
31541,{α}
31542,{α}
31543,{α}
31544,{α}
31545,"{α, ε}"
31546,{α}
31547,"{α, η}"
31548,{α}
31549,"{α, γ}"
31550,{α}
31551,{α}
31552,{α}
31553,{α}
31554,{other}
31555,{α}
31556,{α}
31557,{α}
31558,"{α, η}"
31559,{α}
31560,{α}
31561,"{α, η}"
31562,{α}
31563,{α}
31564,"{α, η}"
31565,"{α, γ}"
31566,{α}
31567,"{α, η}"
31568,{α}
31569,{}
31570,{α}
31571,{other}
31572,"{α, η}"
31573,{α}
31574,{other}
31575,{α}
31576,"{α, γ}"
31577,{other}
31578,{other}
31579,{α}
31580,{α}
31581,{α}
31582,{α}
31583,{α}
31584,{α}
31585,{α}
31586,{α}
31587,{α}
31588,{α}
31589,"{α, η}"
31590,{α}
31591,{α}
31592,{α}
31593,{α}
31594,{α}
31595,{α}
31596,{α}
31597,{α}
31598,{α}
31599,{α}
31600,{α}
31601,"{α, η}"
31602,{α}
31603,{α}
31604,{α}
31605,{α}
31606,{α}
31607,{α}
31608,{α}
31609,{α}
31610,{α}
31611,{α}
31612,{α}
31613,"{α, ψ}"
31614,"{α, γ}"
31615,{α}
31616,{α}
31617,{α}
31618,"{α, γ}"
31619,{α}
31620,"{α, η}"
31621,{α}
31622,"{α, ε}"
31623,{}
31624,"{α, ε, θ}"
31625,{α}
31626,{α}
31627,"{α, η}"
31628,{α}
31629,{α}
31630,{α}
31631,{α}
31632,{α}
31633,{α}
31634,"{α, γ}"
31635,"{α, β}"
31636,{α}
31637,{α}
31638,{α}
31639,{α}
31640,"{α, η}"
31641,{α}
31642,{α}
31643,{α}
31644,{α}
31645,{other}
31646,{α}
31647,{α}
31648,{α}
31649,"{α, β}"
31650,{}
31651,{α}
31652,"{α, η}"
31653,{α}
31654,{α}
31655,{α}
31656,{α}
31657,"{α, β}"
31658,{α}
31659,{α}
31660,{α}
31661,"{α, η}"
31662,{}
31663,{α}
31664,{α}
31665,{α}
31666,{α}
31667,"{α, η}"
31668,{α}
31669,{α}
31670,{α}
31671,{α}
31672,{α}
31673,{α}
31674,{α}
31675,{α}
31676,{other}
31677,{α}
31678,{α}
31679,"{α, β}"
31680,{α}
31681,{α}
31682,"{α, β}"
31683,{α}
31684,"{α, δ}"
31685,{α}
31686,"{α, μ}"
31687,{other}
31688,"{α, η}"
31689,{α}
31690,{α}
31691,{α}
31692,{α}
31693,{α}
31694,"{α, γ}"
31695,{α}
31696,{α}
31697,{α}
31698,{α}
31699,{α}
31700,{α}
31701,{α}
31702,{α}
31703,{}
31704,{α}
31705,"{α, η}"
31706,{α}
31707,{α}
31708,{α}
31709,{α}
31710,{α}
31711,{α}
31712,"{α, γ}"
31713,{α}
31714,"{α, θ}"
31715,"{α, β}"
31716,{α}
31717,{other}
31718,"{α, μ}"
31719,{α}
31720,{α}
31721,{α}
31722,{α}
31723,"{α, β}"
31724,{α}
31725,{}
31726,{other}
31727,{α}
31728,"{α, γ}"
31729,{α}
31730,{α}
31731,{α}
31732,{α}
31733,{α}
31734,{}
31735,{α}
31736,"{α, η}"
31737,"{α, η}"
31738,{α}
31739,{other}
31740,{α}
31741,{α}
31742,{α}
31743,{α}
31744,{α}
31745,"{α, δ}"
31746,"{α, θ}"
31747,{other}
31748,{α}
31749,{}
31750,{other}
31751,"{α, β}"
31752,{α}
31753,{α}
31754,{α}
31755,{α}
31756,{α}
31757,"{α, ψ}"
31758,{α}
31759,{}
31760,{α}
31761,{α}
31762,"{α, γ}"
31763,{}
31764,{α}
31765,"{α, ψ}"
31766,{α}
31767,{α}
31768,{}
31769,{α}
31770,{α}
31771,{α}
31772,{α}
31773,"{α, η}"
31774,{α}
31775,{α}
31776,{α}
31777,"{α, η}"
31778,{α}
31779,"{α, δ}"
31780,"{α, θ}"
31781,{α}
